key,category,chapter,severity,issues,question_text,correct_answer,solution_steps
qa-0881,Arithmetical Ability,Simplification,critical,repeated_operator_fragment,1Simplify: .2 31 8 2 91 23 1 3 + ++ −,B,11Given exp. 2 2/31 5831 38 39 5 9 3 (1/ 3) == + + +× + = 1 1 13 .2/3 2 1511 (13 / 3) 13 == ++
qa-0883,Arithmetical Ability,Simplification,review,dense_number_sequence,"=+ + + 37 1If 2 , where , , are natural113 1 xyz x y z numbers, then x, y, z are",B,"1 37 11 11 12 2211 13 13 13 11xx yy zz + = = =+ | ++ ++ = 11 1 13 113 11x y z | + = + | 12 11 11x y z + =+ + | 1 11 1 11, 5 522 2xy z= + = = =+ | x = 1, y = 5, z = 2."
qa-0885,Arithmetical Ability,Simplification,critical,repeated_operator_fragment; raw_backslash_separator,"11Let and .1112 1113 1134 4 .... .... .... .... 11 10 8 10 800 PQ== ++ ++ ++ + ++ Then, P + Q when calculated, gives",A,"= + + ⋅⋅⋅⋅ ⋅⋅⋅⋅ + 1Let 13 4 1 1008 x . 111Then, , .1 221 1 xPQ xx x += == +++ + \ 12 1 1.222 xxPQ xxx +++ =+== +++"
qa-0886,Arithmetical Ability,Simplification,critical,repeated_operator_fragment; concatenated_formula_numbers,+ + −− − ++ ++ + +− ++ 11 1111 11 11 1110 10 10 1010 10 10 10 1111 1110 1010 10 simplifies to,A,"Given exp. = 22 1, where 1 and 110 10 ab aab − =+ + + 11 110 10 b =− + = 11( ) 1 –1 1110 1010 10 ab −= + − ++ = 1 202. (101/10) 101×="
qa-0889,Arithmetical Ability,Simplification,review,raw_backslash_separator,"If x = y = 2 z and xyz = 256, then x =?",C,xyz = 256 | (2z) (2z) z = 256 | 4 z3 = 256 | z3 = 64 | z = 4. \ x = 2 z = (2 × 4) = 8.
qa-0890,Arithmetical Ability,Simplification,critical,repeated_operator_fragment; raw_backslash_separator,"If 3 y + 9 x = 54 and 28 140 ,13 39=x y then what is the value of y – x?",A,"28 140 13 39 x y = | 140 13 5 5 .39 28 3 3 x xyy = × = | = 3y + 9 x = 54 | y + 3 x = 18 | 53 18 6 18 3.3yy yy+ × = | = | = \ 5 3 5.3x = ×= So, y – x = (3 – 5) = – 2."
qa-0891,Arithmetical Ability,Simplification,review,raw_backslash_separator,"If 3 x + 7 y = 75 and 5 x – 5 y = 25, then what is the value of x + y?",D,"3 x + 7 y = 75 ...( i) 5 x – 5 y = 25 | x – y = 5 | 7x – 7 y = 35 ...(ii) Adding (i) and ( ii), we get: 10 x = 110 or x = 11. Putting x = 11 in ( i), we get: 7 y = 42 or y = 6. \ x + y = (11 + 6) = 17."
qa-0892,Arithmetical Ability,Simplification,review,raw_backslash_separator,"If a + b = 5 and 3 a + 2 b = 20, then (3 a +",D,"a + b = 5 ...(i) and 3 a + 2 b = 20 ...(ii) Multiplying ( i) by 2 and subtracting from ( ii), we get: a = 10. Putting a = 10 in ( i), we get: b = – 5. \ (3 a + b) = 3 × 10 + (– 5) = 30 – 5 = 25."
qa-0896,Arithmetical Ability,Simplification,critical,repeated_operator_fragment,"If 4 x + 3 y = 18 xy and 2 x – 5 y + 4 xy = 0, then the values of x and y will be respectively",C,"4x + 3 y = 18 xy ...( i) and 2 x – 5 y = – 4 xy ...( ii) Dividing (i) and ( ii) by xy, we get: 34 5218 ...( ) and 4 ...( )iii ivxy xy+= −= Multiplying ( iv) by 2 and adding ( iii) to it, we get: 13 126 or . 2xx == 11Putting in ( ), we get : .23x iii y=="
qa-0897,Arithmetical Ability,Simplification,review,raw_backslash_separator,"If 2x + y = 17; y + 2 z = 15 and x + y = 9, then what is the value of 4 x + 3 y + z?",E,"2x + y = 17 ...(i) y + 2 z = 15 ...(ii) and x + y = 9 ...(iii) Subtracting ( iii) from ( i), we get: x = 8. Putting x = 8 in ( i), we get: y = 1. Putting y = 1 in ( ii), we get: 2 z = 14 or z = 7. \ 4 x + 3 y + z = 4 × 8 + 3 × 1 + 7 = 42."
qa-0899,Arithmetical Ability,Simplification,review,raw_backslash_separator,"If 2x + y = 15, 2 y + z = 25 and 2 z + x = 26, what is the value of z?",D,"2x + y = 15 ...(i) 2 y + z = 25 ...(ii) and 2z + x = 26 ...(iii) Adding (i), ( ii) and ( iii), we get: 3( x + y + z) = 66 or x + y + z = 22 ...(iv) From (ii), we have: 25 – .2 zy = From ( iii), we have: x = 26 – 2 z. \ 25(26 2 ) 22 77 3 442 zzz z −− + += | − = | 3z = 33 | z = 11."
qa-0900,Arithmetical Ability,Simplification,review,raw_backslash_separator,"If 2x + 3 y = 31, y – z = 4 and x + 2z = 11, then what is the value of x + y + z?",C,"2x + 3 y = 31 ...(i) y – z = 4 ...(ii) and x + 2 z = 11 ...(iii) Multiplying ( iii) by 2 and subtracting from ( i), we get: 3 y – 4 z = 9 ...(iv) Solving (ii) and ( iv), we get: y = 7, z = 3. Putting y = 7 in ( i), we get: x = 5. \ x + y + z = (5 + 7 + 3) = 15."
qa-0901,Arithmetical Ability,Simplification,critical,repeated_operator_fragment; raw_backslash_separator,The price of 10 chairs is equal to that of 4 tables. The price of 15 chairs and 2 tables together is ₹ 4000. The total price of 12 chairs and 3 tables is,D,"Let the cost of a chair and that of a table be ₹ x and ₹ y respectively. Then, 10x = 4 y or 5 .2yx= \ 515 2 4000 15 2 2xy x x+ = | +× = 4000 20 4000 200.xx | = | = So, 5 200 500.2y =× = \ Cost of 12 chairs and 3 tables = 12 x + 3 y = ₹ (12 × 200 + 3 × 500) = ₹ (2400 + 1500) = ₹ 3900."
qa-0905,Arithmetical Ability,Simplification,review,raw_backslash_separator,"The cost of one pencil, two pens and four erasers is ₹ 22 while the cost of five pencils, four pens and two erasers is ₹ 32. How much will three pencils, three pens and three erasers cost?",C,"Let the cost of 1 pencil, 1 pen and 1 eraser be ₹ x, ₹ y and ₹ z respectively. Then, x + 2 y + 4 z = 22 ...( i) and 5 x + 4 y + 2 z = 32 ...(ii) Adding (i) and ( ii), we get: 6( x + y + z) = 54 or x + y + z = 9. \ Cost of 3 pencils, 3 pens and 3 erasers = 3( x + y + z) = ₹ (3 × 9) = ₹ 27."
qa-0906,Arithmetical Ability,Simplification,critical,repeated_operator_fragment; concatenated_formula_numbers; raw_backslash_separator,"Ram Singh goes to Pushkar Mela with ₹ 10000 to buy exactly 100 animals. He finds that cows are sold at ₹ 1000, horses at ₹ 300 and chicken at ₹ 50. How many chicken should he buy to meet his target of 100 animals? (SNAP, 2005)",D,"Let the number of cows and horses bought be x and y respectively. Then, number of chicken bought = 100 – ( x + y). 1000x + 300 y + 50 [100 – ( x + y)] = 10000 | 1000 x + 300 y + 5000 – 50( x + y) = 10000 | 950 x + 250 y = 5000 | 50(19 x + 5 y) = 5000 | 19 x + 5 y = 100 | 5y = 100 – 19 x | 100 – 19 .5 xy = Clearly, for y to be a whole number, (100 – 19 x) must be divisible by 5 and this is possible only when x = 5. When x = 5, 100 – 19 5 5 1.55y ×= == \ Number of chicken = [100 – (5 + 1)] = 94."
qa-0907,Arithmetical Ability,Simplification,critical,repeated_operator_fragment; concatenated_formula_numbers; raw_backslash_separator,"3 men and 4 boys can earn ₹ 756 in 7 days. 11 men and 13 boys can earn ₹ 3008 in 8 days. In what time will 7 men with 9 boys earn ₹ 2480? (P.C.S., 2006)",C,"Let 1 man's daily earning be ₹ x and 1 boy's daily earn - ing be ₹ y. Then, 3 x + 4 y = 756 7 = 108 ...(i) And, 11x + 13 y = 3008 8 = 376 ...(ii) Multiplying ( i) by 11 and ( ii) by 3, we get: 33x + 44 y = 1188 ...(iii) 33x + 39 y = 1128 ...(iv) Subtracting ( iv) from ( iii), we get: 5 y = 60 or y = 12. Putting y = 12 in ( i), we get: 3 x = 60 or x = 20. \ Required time = 2480 2480 2480 10 days.7 9 7 20 9 12 248xy = ==+ × +×"
qa-0908,Arithmetical Ability,Simplification,review,raw_backslash_separator,"At a certain fast food restaurant, Brian can buy 3 burgers, 7 shakes and one order of fries for ₹ 120 exactly. At the same place, it would cost ₹ 164.50 for 4 burgers, 10 shakes and one order of fries. How much would it cost for an ordinary meal of one burger, one shake and one fries?",B,"Let the price of 1 burger, 1 shake and 1 fries be ₹ x, ₹ y and ₹ z respectively. Then, 3x + 7 y + z = 120 ...(i) 4x + 10y + z = 164.50 ...(ii) Subtracting ( i) from ( ii), we get: x + 3 y = 44.50 or 2x + 6 y = 89 ...(iii) Subtracting ( iii) from ( i), we get: x + y + z = (120 – 89) = 31. \ Cost of 1 burger, 1 shake and 1 fries = ₹ 31."
qa-0912,Arithmetical Ability,Simplification,critical,repeated_operator_fragment,"111 1T h ev a l u eo f 1– 1– 1– 1– i s234 ⋅⋅⋅⋅ m (P.C.S., 2008)",B,Given exp. = 1123 1..... .234 m mm −××× × =
qa-0913,Arithmetical Ability,Simplification,critical,repeated_operator_fragment,"111 1The expression 1 1 1 1345 n + + + ⋅⋅⋅⋅ + simplifies to (M.B.A. 2006, 2008)",A,Given exp. = 11456 ..... .345 3 nn n ++××× × =
qa-0914,Arithmetical Ability,Simplification,critical,repeated_operator_fragment; concatenated_formula_numbers,"When simplified, the product 12 3 − 32 5 − 5 99722 7 999 − ⋅⋅⋅⋅ − is equal to (R.R.B., 2007)",D,Given exp. = 5 7 9 1001 1001..... .3 5 7 999 3××× × =
qa-0915,Arithmetical Ability,Simplification,critical,repeated_operator_fragment,3 1 2 2 6 12111 – 11 ?4 33571 3 + + + −=,C,Given exp. = 3 4 5 3 13 1 1 .4 3 3 5 7 13 7×××× × =
qa-0916,Arithmetical Ability,Simplification,critical,repeated_operator_fragment,The value of 222 111111 345 − − − ⋅⋅⋅⋅ 2 11 11 − 2 11 is 12 −,C,Given exp. = 222 2 2 222 2 2 3 –1 4 –1 5 –1 1 1 –1 1 2 –1..... 3 4 5 11 12 = (3 1) (3 1) (4 1) (4 1) (5 1) (5 1) (2 1) (4 1) (3 1) (5 1) (4 1) (6 1) (11 1) (11 1) (12 1) (12 1)..... (10 1) (12 1) (11 1) (13 1) +− +− +− +− +− +− +− +− +− +− = (3 – 1) (12 1) 2 13 13 .(2 1) (13 – 1) 3 12 18 +× =× =+
qa-0917,Arithmetical Ability,Simplification,critical,repeated_operator_fragment; detached_digit_array,What is the value of the following expression? 222 2 111 1 (2 – 1) (4 – 1) (6 – 1) (20 – 1) + + + ⋅⋅⋅⋅ +,C,Given exp. = 11 (2 1) (2 1) (4 1) (4 1) 11 .....(6 1) (6 1) (20 1) (20 1) +−+ −+ + ++ −+ − + = 111 1 .....1 3 3 5 5 7 19 21+ + ++××× × = 1 1 11 1 11 1 1 1 11 – – – ..... –2 3 2 3 5 2 5 7 2 19 21 + + ++ = 1 1 1 20 101.2 21 2 21 21 − =× =
qa-0919,Arithmetical Ability,Simplification,review,raw_backslash_separator,The sum of the first 35 terms of the series 111111111 ..... is :234234234+−−−+++−,B,"Clearly, sum of first 6 terms is zero. So, sum of first 30 terms = 0. \ 11111 1Required sum .23423 4 = + − − − =−"
qa-0921,Arithmetical Ability,Simplification,critical,repeated_operator_fragment; concatenated_formula_numbers,999999 7 is equal to1000 ×,C,Given exp. = 171000 7 70001000 1000 − ×= − = 9936999 .1000
qa-0923,Arithmetical Ability,Simplification,critical,concatenated_formula_numbers,123456999 999 999 999 999 999777777 +++++ is simplified to,D,Given exp. = 6541000 1000 1000777 −+ −+ − 3211000 1000 1000777 +− +− +− = 6543216000 777777 − +++++ = 216000 6000 3 5997.7− = −= Another Method: Given exp. = 123456(999 6) 777777 × + +++++ = 215994 5994 3 5997.7+ = +=
qa-0924,Arithmetical Ability,Simplification,review,dense_number_sequence,"The value of 2358998 998 998 99817 17 17 17+++ 16998 is17+ (I.A.M., 2007)",B,Given exp. = 2358 1 6(998 5) 17 17 17 17 17 × + ++++ = 4990 + 34 17 = 4990 + 2 = 4992.
qa-0926,Arithmetical Ability,Simplification,critical,repeated_operator_fragment; detached_digit_array; dense_number_sequence,"11 1 1 1 is equal to1.4 4.7 7.10 10.13 13.16 ++ + + (S.S.C., 2007)",C,Given exp. = 1 1 11 1 11 113 4 3 4 7 3 7 10 −+ −+ − 11 1 11 1 3 10 13 3 13 16 +− +− = 1 11 1 111 4 4 7 7 10 3 11 11 10 13 13 16 −+−+− +−+− = 1 1 1 15 51– .3 16 3 16 16 =× =
qa-0928,Arithmetical Ability,Simplification,critical,repeated_operator_fragment; detached_digit_array,++ + × ×× 23 11 1The value of 1 is43 43 43,A,32 3 4 3 3 3 1 108 9 3 1 121Given exp. .108 10843 × + ++ +++= == ×
qa-0929,Arithmetical Ability,Simplification,critical,repeated_operator_fragment; detached_digit_array,+++1111 is equal to.. .. .. ..123 234 345 456,A,. ....456 56 26 23 1 2 0 3 0 1 2 6Given exp. .....123456 7 2 0 +++ + + +== = 168 7 .720 30=
qa-0931,Arithmetical Ability,Simplification,critical,repeated_operator_fragment; concatenated_formula_numbers; raw_backslash_separator,The sum of the first 99 terms of the series 35 7 9 ....4 36 144 400++ + +,C,Given exp. = 4–1 9–4 1 6–9 .....4 1 9 4 16 9++ +×× × = 1 1 111 – – – .....4 4 9 9 16 1 ++ + = 22 22 22 1 11 11 1– – – ..... 1 22 33 4 +++ \ 99th term of the series = 22 11 –. 99 100 \ Given exp. = 22 22 22 1 11 11 1 1 22 33 4 −+−+− 22 2 2 11 1 1..... 98 99 99 100 ++ − + − = 2 1 1 99991– 1– .10000 10000100 ==
qa-0933,Arithmetical Ability,Simplification,review,raw_backslash_separator,"Income of a company doubles after every one year. If the initial income was ₹ 4 lakhs, what would be the income after 5 years?",B,Income after 1 year = ₹ (4 × 2 1) lakhs. Income after 2 years = ₹ (4 × 2 × 2) lakhs = ₹ (4 × 2 2) lakhs \ Income after 5 years = ₹ (4 × 25) lakhs = ₹ 128 lakhs = ₹ 1.28 crores.
qa-0939,Arithmetical Ability,Simplification,review,dense_number_sequence,"A boy multiplied 423 by a number and obtained 65589 as his answer. If both the fives in the answer are wrong and all other figures are correct, the correct answer is:",A,"Among the given numbers, only 60489 is a multiple of 423. 227. Let the given number be x. Then, 63 287 7 35– 770 770 7708 18 72 72 xx xxx −= | = | = 770 72 1584.35x × | = ="
qa-0940,Arithmetical Ability,Simplification,review,missing_solution_steps,"A candidate was asked to find 7 8 of a positive number. He found 7 18 of the same by mistake. If his answer was 770 less than the correct one, then the original given number was",D,
qa-0941,Arithmetical Ability,Simplification,review,raw_backslash_separator,"A student was asked to divide a number by 17 .8 Instead, he actually multiplied it by 17 8 and hence got 225 more than the expected answer. What was the expected answer ?",A,"Let the number be x. Then, 289 – 6417 8 – 225 2258 17 136 xxxx = | = 225 225 136.136 xx | = | = \ Expected answer = 17 8136 136 64.8 17 ÷= × ="
qa-0943,Arithmetical Ability,Simplification,critical,repeated_operator_fragment,"If 23 3 is subtracted from 19 9 and the difference is multiplied by 450, what is the final answer?",E,Final answer = 1 2 82 119 – 3 450 – 4509 3 93 ×= × = 49 450 2450.9 ×=
qa-0944,Arithmetical Ability,Simplification,critical,repeated_operator_fragment,By how much is 3 4 of 968 less than 7 8 of 1008?,E,737 3of 1008 – of 968 1008 – 968848 4 =× × = 882 – 726 = 156.
qa-0946,Arithmetical Ability,Simplification,critical,repeated_operator_fragment,The difference between 34th of th45 of a number and 12th of th65 of the same number is 648. What is the number?,B,"Let the number be x. Then, 34 12of of – of of 64845 65 xx = | 648 1538 – 648 648 1215.5 15 15 8 xx x x ×= | = | = ="
qa-0947,Arithmetical Ability,Simplification,critical,repeated_operator_fragment,Which number gives the same result when added to 11 2 and when multiplied by 11?2,B,"Let the required number be x. Then, 1 1 33 31 1 3.2 2 22 22 xxx x x x+ =× | + = | = | ="
qa-0949,Arithmetical Ability,Simplification,critical,repeated_operator_fragment,3 8 is what part of 1 ?12,D,"13 3 3 9Let of . Then, 12 .12 8 12 8 8 2 xxx = = | =× ="
qa-0950,Arithmetical Ability,Simplification,critical,repeated_operator_fragment; dense_number_sequence,"The smallest fraction which should be subtracted from the sum of 31 71 ,2 ,5 ,4 2 12 113 and 234 to make the result a whole number is",A,"Sum of given fractions = 7 5 67 10 9 4 2 12 3 4++ + + = 21 30 67 40 27 185 .12 12 ++++ = The whole number just less than 185 is 15.12 ,.185 185 5Let 15. Then 1512 12 12 xx == −= −"
qa-0951,Arithmetical Ability,Simplification,critical,repeated_operator_fragment; raw_backslash_separator; dense_number_sequence,"What fraction should be added to the sum of 34 35 , 4 and 745 8 to make the result a whole number? (M.B.A., 2006)",C,Sum of given fractions = 3 4 3 23 24 595474 5 84 5 8+ + =++ = 230 192 295 717 3717 .40 40 40 ++ == \ Required fraction = 37 318 – 17 .40 40 =
qa-0953,Arithmetical Ability,Simplification,critical,repeated_operator_fragment; detached_digit_array,6 6/7By how much does exceed ?7/8 8,B,6 6 / 7 8 6 1 48 667 / 8 8 7 7 8 7 56− =× − × = − = 384 6 378 27 3 6.56 56 4 4 − = ==
qa-0954,Arithmetical Ability,Simplification,critical,repeated_operator_fragment; concatenated_formula_numbers,"If 4 5 of an estate be worth ₹ 16,800, then the value of 3 7 of the estate is",A,"Let the value of the estate be ₹ x. 16800 54Then, of 16800 2100054 xx ×= | = = 33 21000 9000.77x | =× ="
qa-0955,Arithmetical Ability,Simplification,critical,repeated_operator_fragment,Two-fifth of one-fourth of three-seventh of a number is 15. What is half of that number ?,E,"Let the number be x. Then, 213 7 5of of of 15 15 4 350547 3 2xx = | = × ×× = | 1 175.2 x ="
qa-0956,Arithmetical Ability,Simplification,critical,repeated_operator_fragment,What fraction of an hour is a second?,D,1 sec. 1 sec. 1Required fraction .1 hr. (1 60 60) sec. 3600== = ××
qa-0957,Arithmetical Ability,Simplification,critical,repeated_operator_fragment,"When a ball bounces, it rises to 3 4 of the height from which it fell. If the ball is dropped from a height of 32 m, how high will it rise at the third bounce?",B,33 27Height at the third bounce 32 m 32 m4 64 =× =× = 27 1m 13 m.22 =
qa-0958,Arithmetical Ability,Simplification,review,raw_backslash_separator,Sanket earns twice as much in the month of March as in each of the other months of the year. What part of his entire annual earnings was earned in March?,D,"Suppose Sanket earns ₹ x in each of the other eleven months. Then, Sanket’s earning in March = ₹ (2 x). Sanket’s annual earning = ₹ (11 x + 2 x) = ₹ (13 x). \ Required fraction = 22 .13 13 x x ="
qa-0960,Arithmetical Ability,Simplification,critical,repeated_operator_fragment; raw_backslash_separator,"A person travels 3.5 km from place A to place B. Out of this distance, he travels 21 km3 on bicycle, 11 km6 on scooter and the rest on foot. What portion of the whole distance does he cover on foot?",C,7 57Distance travelled on foot km2 36 =−+ = 7 17 2 km km.26 3 −= \ (2/3) 2 2 4Required fraction .(7/2) 3 7 21 = =×=
qa-0961,Arithmetical Ability,Simplification,critical,repeated_operator_fragment,What fraction of 4 7 must be added to itself to make the sum 11?14,C,"Let the required fraction be x. Then, 4 4 15 4 15 4 7 1 7 7 14 7 14 7 14 2xx += | = − = = | 17 7 .24 8x =×="
qa-0962,Arithmetical Ability,Simplification,critical,repeated_operator_fragment,Express 21of34 of ₹ 25.20 as a fraction of 11 2 of ₹ 36.,C,21of of 25.20 4.20 42 734Required fraction .3 54 540 90of 362 = = == ₹ ₹ ₹₹
qa-0963,Arithmetical Ability,Simplification,critical,repeated_operator_fragment; raw_backslash_separator; dense_number_sequence,A 70 cm long wire is to be cut into two pieces such that one piece will be 2 5 as long as the other. How many centimetres will the shorter piece be?,C,"Let the length of longer piece be x cm. 2Then, length of shorter piece cm.5 x= \ 70 527 70 70 50.55 7 xxx x ×+ = | = | = = = =× = 22Hence, length of shorter piece 50 cm 20cm.55x"
qa-0964,Arithmetical Ability,Simplification,critical,repeated_operator_fragment; raw_backslash_separator,"A certain amount is distributed among A, B and C. A gets 3 16 and B gets 1 4 of the whole amount. If C gets ₹ 81, then B gets",C,"Let the whole amount be ₹ x. Then, 3A’s share ; B’s share ;16 4 xx == ₹₹ 39and C’s share .16 4 16 xx xx = −+= ₹₹ \ 81 169 81 144.16 9 x x ×= | = = 144Hence, B’s share 36.4 == ₹₹"
qa-0965,Arithmetical Ability,Simplification,critical,repeated_operator_fragment; dense_number_sequence,"1 10 of a pole is coloured red, 1 20 white, 1 30 blue, 1 40 black, 1 50 violet, 1 60 yellow and the rest is green. If the length of the green portion of the pole is 12.08 metres, then the length of the pole is (S.S.C., 2004)",A,"111111Green portion 1 10 20 30 40 50 60 = − +++++ = 1 1111111 1 0 23456 − +++++ = 1 147 147 4531 1.10 60 600 600− × =− = Let the length of the pole be x metres. 12.08 600453Then, 12.08 16.600 453xx ×= | = ="
qa-0966,Arithmetical Ability,Simplification,critical,repeated_operator_fragment; raw_backslash_separator,"If we multiply a fraction by itself and divide the product by its reciprocal, the fraction thus obtained is 2618 .27 The original fraction is",C,"Let the fraction be . Then,a b 512 512 27 27 aa b aaa bb a bbb × ÷= | ××= | 33 8 82 2.3 33 aa bb = | == 254. Maximum internal assessment score = 47 10 9.4.50 ×= Minimum internal assessment score = 14 10 2.8.50 ×= \ Required difference = (9.4 – 2.8) = 6.6."
qa-0967,Arithmetical Ability,Simplification,critical,repeated_operator_fragment,The difference between the maximum and the minimum internal assessment scores is,C,Given exp. = 9999 99 9 3 99× × ÷÷ = 91999 99 3 99 9× × ×÷ 9 11999 99 9 993= × × ×× = 333.
qa-0968,Arithmetical Ability,Simplification,critical,repeated_operator_fragment; raw_backslash_separator,"One-third of Rahul’s savings in National Savings Certificate is equal to one-half of his savings in Public Provident Fund. If he has ₹ 1,50,000 as total savings, how much has he saved in Public Provident Fund?",C,"Let savings in N.S.C. and P.P.F. be ₹ x and ₹ (150000 – x) respectively. Then, 11 (150000 ) 750003 2 32 xxxx= − | += | 5 750006 x = | 75000 6 90000.5x ×== \ Savings in Public Provident Fund = ₹ (150000 – 90000) = ₹ 60000."
qa-0969,Arithmetical Ability,Simplification,review,raw_backslash_separator,"In a family, the father took 1 4 of the cake and he had 3 times as much as each of the other members had. The total number of family members is",C,"Let there be ( x + 1) members. Then, Father's share = 1 ,4 share of each other member = 3 .4x \ 313 4 36 9.44 xxx = | = | = Hence, total number of family members = 10."
qa-0970,Arithmetical Ability,Simplification,critical,repeated_operator_fragment; raw_backslash_separator,A waiter’s salary consists of his salary and tips. During one week his tips were 5 4 of his salary. What fraction of his income came from tips?,D,"5Let salary . Then, tips . 4xx == ₹₹ 59Total income .44 xxx =+ = ₹₹ \ 545Required fraction .49 9 x x =×="
qa-0971,Arithmetical Ability,Simplification,critical,repeated_operator_fragment; concatenated_formula_numbers; raw_backslash_separator,"A sum of ₹ 1360 has been divided among A, B and C such that A gets 2 3 of what B gets and B gets 1 4 of what C gets. B’s share is (M.A.T., 2002)",C,"Let C’s share = ₹ x. Then, B’s share = ₹ 4 x , A’s share = 2 .34 6 xx ×= ₹₹ \ 171360 13606 4 12 xx xx+ += | = | 1360 12 960.17x ×== ₹ 960Hence, B’s share 240.4 == ₹₹"
qa-0972,Arithmetical Ability,Simplification,critical,repeated_operator_fragment; raw_backslash_separator,"Three friends had dinner at a restaurant. When the bill was received, Amita paid 2 3 as much as Veena paid and Veena paid 1 2 as much as Tanya paid. What fraction of the bill did Veena pay? (SNAP, 2005)",B,"Let Tanya's share = ₹ x. Then, Veena's share = ₹ 2, Amita's share .2 32 3 x xx = ×= ₹₹ 11Total bill .23 6 xx xx = ++ = ₹₹ \ 63Required fraction .2 11 11 x x =× ="
qa-0973,Arithmetical Ability,Simplification,critical,repeated_operator_fragment; raw_backslash_separator,1 4 of a tank holds 135 litres of water. What part of the tank is full if it contains 180 litres of water?,B,"Let the capacity of the tank be x litres. 1Then, 135 135 4 540.4 xx= | = ×= \ 180 1Required fraction .540 3 =="
qa-0976,Arithmetical Ability,Simplification,critical,repeated_operator_fragment,"A tin of oil was 5 8 full. When 10 bottles of oil was taken out and 8 bottles of oil was poured into it, it was 3 5 full. How many bottles of oil can the tin contain?",D,"Let x be the number of bottles of oil that the tin can contain. 53Then, – 10 – 8 25 – 24 2 40 80.85xx x x x= | =× | ="
qa-0977,Arithmetical Ability,Simplification,critical,repeated_operator_fragment,1 m of an object is to be represented by 10 cm on the drawing scale. The representative fraction (R.F.) of the scale is,A,10 cm 10 cm 1R.F. .1 m 100 cm 10== =
qa-0978,Arithmetical Ability,Simplification,critical,repeated_operator_fragment; raw_backslash_separator,An area of 100 sq. cm on the map represents an area of 49 sq. km on the field. The R.F. of the scale to be used is,D,"An area of 49 sq. km is represented by an area of 100 sq. cm on the map. So, a distance of 7 km is represented by a length of 10 cm on the map. \ 5 10 cm 10 cm 1R.F. .7 km 700007 10 cm == = ×"
qa-0979,Arithmetical Ability,Simplification,critical,repeated_operator_fragment; raw_backslash_separator,The fluid contained in a bucket can fill four large bottles or seven small bottles. A full large bottle is used to fill an empty small bottle. What fraction of the fluid is left over in the large bottle when the small one is full?,B,"Let the capacity of the bucket be x litres. Then, Capacity of 1 large bottle = ;4 x Capacity of 1 small bottle = .7 x 3Fluid left in large bottle .4 7 28 xx x=−= \ 3 / 28 3 4 3Required fraction ./ 4 28 7 xx xx = = ×="
qa-0980,Arithmetical Ability,Simplification,critical,repeated_operator_fragment; raw_backslash_separator,"To fill a tank, 25 buckets of water is required. How many buckets of water will be required to fill the same tank if the capacity of the bucket is reduced to two-fifth of its present?",C,"Let the capacity of 1 bucket = x. Then, capacity of tank = 25 x. 2New capacity of bucket . 5 x= \ 25Required number of buckets (2 / 5) x x= = 5 125 125 62 .222x x ×=="
qa-0981,Arithmetical Ability,Simplification,critical,repeated_operator_fragment; raw_backslash_separator,A stationary engine has enough fuel to run 12 hours when its tank is 4 5 full. How long will it run when the tank is 1 3 full?,E,"Clearly, more fuel, the longer will the engine run. \ 41 4 1 5: : : 12 : or 12 4 or 4 5.53 5 3 4xx x = × = =× ="
qa-0982,Arithmetical Ability,Simplification,review,raw_backslash_separator,A tree grows only 3 5 as fast as the one beside it. In four years the combined growth of the trees is eight feet. How much does the shorter tree grow in 2 years?,A,"Suppose the taller tree grows x feet in 1 year. Then, the shorter tree grows 3 ft5 x in 1 year. \ 3 12 3244 84 8 85 55x x xx x+× = | + = | = 85 5 .32 4x × | = = Growth of shorter tree in 2 years = 32 ft 5 x × = 35 3 12 ft ft 1 ft.54 2 2 ×× = ="
qa-0983,Arithmetical Ability,Simplification,review,raw_backslash_separator,"A car is filled with four and a half gallons of fuel for a round trip. If the amount of fuel taken while going is 1 4 more than the amount taken for coming, what is the amount of fuel consumed while coming back?",B,"Let the amount of fuel consumed while coming back be x gallons. Then, amount of fuel consumed while going = 5gallons gallons.44 xxx += \ 5 1 9 9 944 2.4 2 4 2 29 xxxx+ = | = | = × ="
qa-0984,Arithmetical Ability,Simplification,critical,repeated_operator_fragment; raw_backslash_separator; dense_number_sequence,The lowest temperature in the night in a city is one- third more than 1 2 the highest during the day. Sum of the lowest temperature and the highest temperature is 100 degrees. Then what is the lowest temperature?,B,"Let the highest temperature be x degrees. Then, lowest temperature = 11 degrees32 x + = 42 degrees degrees.32 3 xx ×= \ 100 325 100 100 60.33 5 xxxx ×+ = | = | = = So, lowest temperature = 2 60 degrees 40 degrees.3 ×="
qa-0985,Arithmetical Ability,Simplification,critical,repeated_operator_fragment; raw_backslash_separator,"In a class there are 18 boys who are over 160 cm tall. If these boys constitute three-fourths of the boys and the total number of boys is two-thirds of the number of students in the class, then what is the number of girls in the class?",B,"Let the total number of students in the class be x. Then, number of boys = 2 ;3 x number of girls = .3 x Number of boys who are over 160 cm tall = 32 .43 2 xx ×= So, 18 or 36.2 x x== \ Number of girls = 36 12.3 ="
